1;Aldona;Łada;19;592544698;2920778228036233;03081512988
2;Konstantyn;Stencel;28;893939788;4935826658913130;94012678582
3;Ksawera;Papież;20;397948525;3355731376051355;02020292977
4;Aldona;Weiss;35;732676071;6457457712622039;87012320228
5;Dominik;Chabowski;33;542866289;9108520732228957;89042365442
6;Dionizy;Gajdziński;56;870138541;5653824304213853;66081125248
7;Hasan;Cyran;63;551108063;2497707022402637;59121593064
8;Ignacy;Glapa;47;431100384;4406399056220556;75121744543
9;Jolanta;Lipczyński;19;292711233;9628387549334952;03092632683
10;Eliza;Sułek;33;475024320;3219947833407012;89111182248
11;Marcjanna;Brzezina;57;519834427;5175119824051164;65020198625
12;Władysław;Blicharski;44;500957513;5926867744875105;78050559593
13;Radomira;Sus;40;922847215;2033719411291209;82121134390
14;Wioleta;Siwak;60;612313506;9430753937055871;62011435101
15;Celina;Kozielski;43;983781428;6873732568256881;79111953075
16;Leonard;Kopciński;21;924678947;8571896634522615;01061918291
17;Marian;Derkowski;31;373859321;3082313663986672;91070147469
18;Celina;Sułek;54;383808643;3362650416517849;68120928356
19;Daria;Koryciński;64;325213097;4266560177241258;58052718088
20;Domasław;Derkowski;40;555769529;7408254449498290;82011789550
21;Strzeżymira;Polewski;29;684578625;7934334494211115;93021158185
22;Wincentyna;Nowowiejski;55;354039716;6008132191664157;67031525840
23;Marta;Sówka;53;643484931;7616162576417803;69071524496
24;Strzeżymira;Stolarek;23;510568166;1614674962525298;99092584670
25;Miłobąd;Obara;20;588017633;7855191751718786;02120591265
26;Kemal;Lipczyński;39;810361522;3007562669575929;83081776186
27;Marian;Tucholski;35;888181261;5358439414545104;87050837682
28;Natanael;Mendyk;45;451686584;9604805367679669;77040795903
29;Wiesława;Płatek;65;316230005;2635960456407714;57110969497
30;Szymon;Barcik;59;832719313;5707713031223059;63041783195
31;Edmund;Stolarek;24;906911679;4845889140255377;98022621358
32;Aldona;Barcik;28;958719948;8293127828800061;94050831406
33;Oksana;Kozielski;21;992015323;5436305574533411;01052238335
34;Teofila;Rosa;45;452964121;6800065383332780;77061845170
35;Stela;Jędras;57;903890077;6977278788190914;65011785958
36;Delia;Mendyk;37;865901608;3731876143930274;85032419356
37;Władysław;Sawczuk;58;628666657;7605630455943407;64081012924
38;Radomira;Tucholski;34;622587991;5311574254005013;88081692879
39;Sergiusz;Garbarczyk;36;948447420;9953302940361973;86121375147
40;Manfred;Pietrzykowski;42;861472993;5812505522419046;80032515927
41;Lora;Kasiński;62;632939253;8246513566066544;60070873296
42;Marian;Komenda;35;951611781;2340883802863648;87062855586
43;Lenart;Stencel;35;231787148;5360825568824746;87091526580
44;Achilles;Lipczyński;25;210338108;3084591748725957;97090640786
45;Lora;Harasimowicz;36;555854347;5713498085247878;86061040146
46;Natanael;Komenda;54;932178740;6382960892810420;68100890736
47;Jolanta;Tworkowski;38;265491933;9025965700767591;84041083918
48;Rozalia;Kusak;47;505337556;1586810840281624;75072227582
49;Achilles;Jordan;44;436186035;6398358289943858;78070923675
50;Jarowit;Mączka;45;418116143;5786861781480171;77112052422
51;Natanael;Sternik;41;429297053;1537070996497451;81090428592
52;Starwit;Kozielski;39;561210202;1306864990605023;83110486702
53;Barnaba;Jordan;57;214629157;5362838499133471;65031145066
54;Konstantyn;Jordan;43;655390448;6041165131318329;79020443932
55;Kemal;Najder;53;809785163;7576672724786416;69101052769
56;Sędzisława;Juda;41;582317766;9168033529885754;81012369124
57;Domasław;Zembrzuski;61;867865791;3146997254419306;61091094014
58;Edmund;Kilian;21;612810108;5053869066597405;01022650300
59;Bolelut;Płatek;23;415309579;6400342377899917;99010426989
60;Gotard;Papież;42;758879170;8231476673139389;80071877642
61;Konstantyn;Sternik;45;293783604;9688807169571113;77012280626
62;Murat;Komenda;18;736390354;1289365371954287;04121576669
63;Jolanta;Garbarczyk;52;373108528;7360623397372517;70081572537
64;Celina;Łada;39;364295405;7469964386449288;83102051918
65;Edmund;Ławecki;36;912718840;5712561198694736;86032161026
66;Konstantyn;Harasimowicz;47;214326191;8367661270222050;75071950352
67;Agapit;Chmura;58;865547966;5519056321165457;64022842552
68;Lila;Frączak;27;365947482;5720586590356632;95120267928
69;Marcjanna;Studziński;65;947460083;5992969186117190;57041764050
70;Nitara;Sułek;65;867611709;7223574165461933;57051314291
71;Hasan;Jurecki;29;412028395;3892029940755797;93081860088
72;Olaf;Janczyk;46;553306820;8825351681158566;76070840010
73;Iliana;Mączka;37;831939216;5093400686518419;85082525339
74;Lila;Ilczuk;47;463653966;7766004032547485;75062337769
75;Hipolita;Kilian;39;986414909;6789328790354688;83032886879
76;Kamira;Sawczuk;31;481056124;8756590940659374;91022138817
77;Wincentyna;Stefańczyk;36;999960828;4169208164400169;86092043337
78;Daria;Rosa;28;220142662;7272678060584123;94021173693
79;Sandra;Jaros;42;221780724;8505460747186862;80032190640
80;Keiria;Derkowski;56;503129080;4177699538331107;66042819021
81;Alan;Jaros;30;830148255;3229151333863081;92062861388
82;Daria;Buła;54;344323608;3219626629801576;68081912969
83;Dionizy;Kruczek;31;304466273;5743122294100378;91121391427
84;Marian;Zabłocki;27;675908729;5493744432241377;95070369676
85;Wioleta;Wiktorowicz;34;762472867;9282072706486917;88022529108
86;Abelard;Koryciński;35;413564931;4394093979739132;87102653930
87;Miłowan;Kozielski;27;870355940;4377888759244597;95060793288
88;Sędzisława;Zabłocki;46;907717775;1734476736150719;76012765187
89;Delia;Jurecki;64;623351437;1975385979027287;58101175732
90;Sofroniusz;Rynkiewicz;44;977376951;6999362953370266;78120341488
91;Marta;Malczyk;36;415553937;5636470599098675;86060910298
92;Bolelut;Cios;19;704154191;2188371016650040;03090488271
93;Kajetan;Siwak;35;698078734;7394407917257424;87052649886
94;Radomira;Kraśniewski;25;564672723;4031615842725821;97050481997
95;Kajetan;Łada;33;736726624;8744400194574885;89060881536
96;Dalbor;Mielniczuk;61;775506563;2243074285276414;61041295746
97;Hipolita;Sułek;23;447582867;5171854152710505;99032430053
98;Tomasz;Fil;60;976178224;8107811548161191;62020421762
99;Longin;Brych;25;934877302;8250197780269057;97030442367
100;Miłorad;Glapa;65;936883895;4443453017283300;57061443684
101;Ksenia;Komenda;26;706795945;6146351905613950;96012650875
102;Machut;Murzyn;56;241806618;8977940331810849;66081253346
103;Marian;Chabowski;33;970682629;7739700253239311;89121629586
104;Emanuela;Drabek;22;813360196;1922676133162446;00092628452
105;Teofila;Murzyn;47;376738012;8287890540420381;75111970047
106;Miłowan;Kilian;37;865058257;1387789294192220;85111331271
107;Miłowan;Tworkowski;58;639069893;3393838137360649;64062311491
108;Macieja;Lenard;34;590791341;4973963469729253;88071898283
109;Korneli;Sus;65;471290883;9809785457236959;57021595774
110;Lila;Rożek;57;752875276;8158554257441891;65082243595
111;Ksawera;Cyran;21;541411115;9183294160848122;01072585710
112;Achilles;Cyran;41;964288983;1266500590758136;81081885771
113;Celina;Kraśniewski;51;365550518;3629302426817631;71041965280
114;Sulisław;Jaros;59;823633981;9003013219862500;63050791079
115;Grodzisław;Zabłocki;56;381875279;6645135169426542;66112415269
116;Sulisław;Komenda;64;493388118;2972417375889192;58091812916
117;Roch;Kraśniewski;32;813733429;6423716094613852;90121292130
118;Gotard;Kasiński;55;495707692;4502196510892032;67121483585
119;Ksawera;Lipski;41;754476142;2126634107258659;81092034784
120;Estera;Obara;54;862123604;8905363080423569;68072226275
121;Jolanta;Jędras;31;575164617;1174706438073514;91062525211
122;Linda;Fijał;30;746562192;1650513791425424;92062321854
123;Marian;Kruczek;39;409011474;4263188175142425;83011318951
124;Lejla;Frączak;59;319971658;3686431990714193;63121287812
125;Delia;Kusak;34;227522072;1952263183538383;88091455751
126;Domasław;Kozielski;18;892079324;9761085357641653;04031092087
127;Agapit;Stefańczyk;30;545060310;2121222988828345;92021569419
128;Izaura;Lipski;46;788070162;5541457918834950;76012186391
129;Adrian;Rosa;55;314594707;2049251028011841;67090798174
130;Achilles;Rożek;29;296635818;9310234122112611;93030824671
131;Babeta;Lipczyński;21;488449219;8310195401225737;01080199686
132;Achilles;Fil;60;581413452;2825638141108344;62042016333
133;Kasjusz;Chabowski;34;647230323;4838979615635751;88041495373
134;Radomira;Zembrzuski;32;422127551;9732669228948229;90070719185
135;Stela;Polewski;44;830651551;6862019859562135;78052477685
136;Abelard;Sawczuk;55;791278998;5607072010511994;67050423860
137;Pachomiusz;Łapka;48;560487728;4076740392091967;74052439745
138;Olaf;Mączka;50;779676130;4745701176565499;72111237486
139;Tomasz;Tęcza;39;890208345;2567571680522516;83111573689
140;Eliza;Studziński;56;915195985;8028501567638728;66030930825
141;Dalbor;Sternik;33;563327935;9931556511438412;89032714335
142;Emanuela;Kruczek;58;477951999;7829117522819906;64011339766
143;Delia;Jaros;50;449320574;8168635312507794;72020771376
144;Estera;Glapa;25;513056633;1257754946916420;97071560205
145;Strzeżymira;Jaros;42;366622542;6195789241805769;80092351331
146;Adrian;Janczyk;24;352105598;1432426805925878;98100516911
147;Keiria;Zientek;18;535114397;4914808425010923;04072420799
148;Edmund;Tucholski;49;806484617;5223140399953493;73090671591
149;Achilles;Łada;65;390345226;8198218232339663;57060328472
150;Macieja;Zabłocki;25;407645383;7977793777377394;97021410924
151;Kasjusz;Tęcza;18;620711997;4891745071794945;04050863081
152;Gotard;Kasiński;33;782412608;2850811786571460;89121015430
153;Keiria;Sułek;19;220581313;7511804676120950;03080968212
154;Leonard;Juda;57;570569260;4835171636516058;65050411888
155;Kamira;Ścisłowski;44;548437663;7875082794222400;78121875173
156;Sofroniusz;Cywiński;53;558449677;1609685859382730;69112761368
157;Daria;Kała;45;888339277;6233562731445171;77112072039
158;Abelard;Kopciński;53;214053054;5428780642379340;69042174825
159;Najsława;Sówka;19;659052155;6910250626604785;03060210328
160;Witosław;Ślusarczyk;22;921694446;6179758165663153;00051271868
161;Linda;Jaros;45;744063350;3685217067876649;77121161083
162;Lubisław;Kruczek;25;988526538;6621654045121337;97122356795
163;Abelard;Obara;65;234460835;5987669551169948;57070899166
164;Sandra;Łapka;54;496418609;5971951684570633;68090512359
165;Donald;Kała;59;876451258;1584727197136368;63010136123
166;Keiria;Gacek;21;291570310;5992717512675891;01060797039
167;Jarowit;Strzałka;32;935535899;1456428636003004;90102019254
168;Dominik;Derkowski;56;747268251;5974173972892217;66102779298
169;Hasan;Koryciński;42;774412788;2158710229694618;80052058617
170;Kemal;Polaczek;33;632332581;4063458594827687;89050897838
171;Keiria;Magnuszewski;61;415979944;1159060380523444;61012685211
172;Miłobąd;Drabek;63;503861050;1697016044703375;59031175950
173;Hipolita;Tucholski;25;370443765;8165751978917633;97072465681
174;Najsława;Ścisłowski;45;353891086;3058929684278165;77052012436
175;Dalmira;Mielniczuk;37;834991303;4693066506544464;85021725615
176;Sofroniusz;Jordan;25;808342483;4174885519033791;97121959468
177;Alan;Lipski;62;756467221;3443526461101119;60042296613
178;Iwo;Stolarek;28;922632477;5101096245676342;94051577680
179;Miłowan;Strzałka;56;841057062;9629481185189351;66060379774
180;Kamira;Magnuszewski;35;742106307;4727811989403531;87012488208
181;Kemal;Gajdziński;44;349283425;9928219146509979;78030851628
182;Marian;Polaczek;20;299851972;7942378125419012;02072839290
183;Jolanta;Stolarek;40;824090512;7362848635570748;82030442581
184;Morzana;Mączka;38;220526131;5566185182896466;84051660277
185;Marta;Cabaj;57;996137324;3247643742677556;65101617031
186;Stela;Sternik;37;995772801;7876085196207873;85072620907
187;Bolelut;Glapa;52;458286687;3435843219687499;70042583054
188;Stela;Józefiak;30;999251623;8452125011130623;92081841354
189;Tobiasz;Tęcza;37;856813693;9414926223272152;85032670794
190;Aldona;Płaza;55;423035648;9455296867332043;67032610136
191;Dominik;Płaza;60;606684888;6465744510546107;62032892904
192;Grodzisław;Magnuszewski;61;941133227;9718458119588380;61030496745
193;Domasław;Kluczyński;25;427475929;2296963674935619;97020795798
194;Roch;Lenard;42;658383943;3623401329801093;80060549139
